Player ID,Player Name,Team Name,Year,Matches,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Catches,Stumpings
30,Amit Mishra,LSG,2008,6,0,37,31,12.33,42,88.09,0,0,3,0,2,0
5681,Naveen Ul Haq,LSG,Career,17,5,18,13,18.00,25,72.00,0,0,2,0,5,0
5681,Naveen Ul Haq,LSG,2024,9,3,2,2*,-,4,50.00,0,0,0,0,3,0
5681,Naveen Ul Haq,LSG,2023,8,2,16,13,16.00,21,76.19,0,0,2,0,2,0
7119,M Siddharth,LSG,Career,3,0,0,0,-,,-,0,0,0,0,0,0
7119,M Siddharth,LSG,2024,3,0,0,0,-,,-,0,0,0,0,0,0
107,Rohit Sharma,MI,Career,256,29,6560,109*,29.55,5016,130.78,2,42,589,277,101,0
107,Rohit Sharma,MI,2024,13,1,349,105*,29.08,240,145.42,1,0,35,20,3,0
107,Rohit Sharma,MI,2023,16,0,332,65,20.75,250,132.80,0,2,35,17,1,0
107,Rohit Sharma,MI,2022,14,0,268,48,19.14,223,120.18,0,0,28,13,7,0
107,Rohit Sharma,MI,2021,13,0,381,63,29.30,299,127.42,0,1,33,14,1,0
107,Rohit Sharma,MI,2020,12,0,332,80,27.66,260,127.69,0,3,27,19,6,0
107,Rohit Sharma,MI,2019,15,1,405,67,28.92,315,128.57,0,2,52,10,4,0
107,Rohit Sharma,MI,2018,14,2,286,94,23.83,215,133.02,0,2,25,12,8,0
107,Rohit Sharma,MI,2017,17,2,333,67,23.78,273,121.97,0,3,31,9,10,0
107,Rohit Sharma,MI,2016,14,3,489,85*,44.45,368,132.88,0,5,49,16,2,0
107,Rohit Sharma,MI,2015,16,2,482,98*,34.42,333,144.74,0,3,41,21,5,0
107,Rohit Sharma,MI,2014,15,2,390,59*,30.00,302,129.13,0,3,31,16,5,0
107,Rohit Sharma,MI,2013,19,5,538,79*,38.42,409,131.54,0,4,35,28,7,0
